Kincaid,ARI,Coleman_Liau,LIX,Flesch_Reading_Ease,Gunning_Fog,SMOG,RIX,Dale_Chall,characters_word,syll_word,wordtypes,words_sentence,words,sentences,sentences_paragraph,complex_words,type_token_ratio,characters,syllables,paragraphs,long_words,complex_dc,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization
9.0,9.8,10.55,42.08,56.55,10.08,11.7,3.45,8.41,4.394101876675603,1.3914209115281502,218.0,16.954545454545453,373.0,22.0,22.0,74.0,0.868632707774799,1639.0,519.0,1.0,75.0,8.41,20,8,10,24,29,42
7.1,7.9,8.29,36.36,72.46,8.32,11.5,3.2,6.55,4.1362586605080836,1.3048498845265588,167.0,17.32,433.0,25.0,25.0,42.0,0.9053117782909931,1791.0,565.0,1.0,80.0,6.55,20,8,13,21,44,45
13.0,14.1,5.99,45.27,62.35,14.78,11.5,3.33,8.34,3.81042654028436,1.2322274881516588,124.0,35.166666666666664,211.0,6.0,6.0,24.0,0.966824644549763,804.0,260.0,1.0,20.0,8.34,12,7,12,29,20,13
5.7,4.8,6.13,28.91,75.91,7.0,10.6,1.92,6.97,3.9487951807228914,1.3343373493975903,135.0,13.28,332.0,25.0,25.0,32.0,0.9246987951807228,1311.0,443.0,1.0,48.0,6.97,21,4,19,27,33,31
7.4,7.2,8.29,36.23,66.23,6.99,10.6,2.62,6.82,4.1421319796954315,1.3147208121827412,102.0,15.153846153846153,197.0,13.0,13.0,19.0,0.8934010152284264,816.0,259.0,1.0,34.0,6.82,13,4,8,10,22,22
9.2,9.7,10.26,39.72,56.15,8.84,11.7,3.17,7.62,4.3685950413223145,1.3884297520661157,265.0,17.285714285714285,605.0,35.0,35.0,85.0,0.8727272727272727,2643.0,840.0,1.0,110.0,7.62,51,22,20,29,60,68
8.2,8.6,7.31,34.72,69.52,8.75,11.3,2.5,6.11,3.8181818181818183,1.187012987012987,152.0,21.38888888888889,385.0,18.0,18.0,25.0,0.8701298701298701,1470.0,457.0,1.0,44.0,6.11,30,20,14,42,41,26
10.4,11.3,7.43,39.7,63.63,10.74,11.1,3.13,6.62,3.813397129186603,1.186602870813397,177.0,27.866666666666667,418.0,15.0,15.0,29.0,0.8755980861244019,1594.0,496.0,1.0,47.0,6.62,30,12,25,44,30,24
3.4,4.5,6.52,27.58,87.31,6.79,8.0,1.57,12.0,4.125,1.2222222222222223,54.0,10.285714285714286,72.0,7.0,7.0,14.0,0.9166666666666666,297.0,88.0,1.0,11.0,12.0,3,0,1,4,5,7
7.6,7.2,7.71,34.07,65.52,8.24,10.8,2.73,7.78,3.9392265193370166,1.270718232044199,101.0,16.454545454545453,181.0,11.0,11.0,24.0,0.861878453038674,713.0,230.0,1.0,28.0,7.78,12,8,8,12,15,20
9.3,9.4,8.7,38.84,61.26,9.76,11.8,3.7,6.92,4.155555555555556,1.345679012345679,195.0,20.25,405.0,20.0,20.0,46.0,0.9061728395061729,1683.0,545.0,1.0,74.0,6.92,28,9,11,33,43,42
11.8,14.6,9.87,42.29,59.98,12.63,0.0,3.5,7.56,4.440677966101695,1.3728813559322033,40.0,29.5,59.0,2.0,2.0,7.0,0.9491525423728814,262.0,81.0,1.0,7.0,7.56,3,1,3,4,8,5
7.7,8.6,7.89,38.71,70.73,8.88,10.4,3.3,7.11,3.9763912310286678,1.2411467116357504,237.0,19.766666666666666,593.0,30.0,30.0,65.0,0.8785834738617201,2358.0,736.0,1.0,98.0,7.11,43,15,30,55,77,61
7.8,8.3,8.4,38.31,65.01,7.74,10.2,2.89,7.05,3.959881129271917,1.2392273402674592,266.0,17.256410256410255,673.0,39.0,39.0,72.0,0.8306092124814265,2665.0,834.0,1.0,110.0,7.05,41,23,18,53,71,64
9.2,9.9,9.4,43.56,61.36,9.37,11.6,4.0,6.75,4.24923076923077,1.3107692307692307,135.0,20.3125,325.0,16.0,16.0,33.0,0.9015384615384615,1381.0,426.0,1.0,64.0,6.75,27,10,14,22,29,33
7.1,7.9,7.83,37.64,72.46,7.61,10.1,2.87,7.13,3.843822843822844,1.1888111888111887,180.0,19.5,429.0,22.0,22.0,47.0,0.8391608391608392,1649.0,510.0,1.0,66.0,7.13,24,10,22,40,40,47
6.4,8.0,7.13,34.6,79.5,8.84,9.6,2.43,7.38,3.73943661971831,1.119718309859155,74.0,20.285714285714285,142.0,7.0,7.0,12.0,0.8450704225352113,531.0,159.0,1.0,17.0,7.38,9,6,6,10,13,13
5.8,6.9,8.22,34.62,75.81,7.18,9.7,2.45,6.8,4.144963144963145,1.2334152334152335,197.0,14.535714285714286,407.0,28.0,28.0,41.0,0.8845208845208845,1687.0,502.0,1.0,71.0,6.8,27,10,15,34,49,38
7.2,8.1,7.89,36.05,72.05,8.17,10.2,2.7,6.65,3.9166666666666665,1.2361111111111112,176.0,18.782608695652176,432.0,23.0,23.0,42.0,0.8587962962962963,1692.0,534.0,1.0,62.0,6.65,23,5,15,43,50,33
7.6,8.5,8.06,36.56,71.04,8.71,11.1,3.13,6.64,4.087719298245614,1.3017543859649123,126.0,19.0,285.0,15.0,15.0,27.0,0.9017543859649123,1165.0,371.0,1.0,46.0,6.64,25,6,11,25,23,25
6.9,7.5,7.07,36.39,72.97,9.13,10.6,2.71,7.13,3.7282229965156795,1.1881533101045296,247.0,16.88235294117647,574.0,34.0,34.0,69.0,0.8222996515679443,2140.0,682.0,1.0,83.0,7.13,26,10,21,67,50,46
7.5,7.2,7.82,33.62,66.03,7.59,10.3,2.47,6.43,3.879251700680272,1.2534013605442176,241.0,16.333333333333332,588.0,36.0,36.0,53.0,0.8367346938775511,2281.0,737.0,1.0,89.0,6.43,30,10,27,54,44,48
6.4,6.7,7.36,34.26,74.29,8.19,10.1,2.17,7.45,3.931937172774869,1.2460732984293195,107.0,15.916666666666666,191.0,12.0,12.0,23.0,0.8743455497382199,751.0,238.0,1.0,26.0,7.45,9,3,7,11,20,18
5.4,5.5,5.56,31.35,82.14,7.13,8.7,2.32,7.06,3.6466346153846154,1.1418269230769231,177.0,16.0,416.0,26.0,26.0,40.0,0.8701923076923077,1517.0,475.0,1.0,58.0,7.06,34,12,16,29,34,47
7.0,6.2,7.18,32.6,67.25,6.65,10.1,1.97,5.98,3.955602536997886,1.2811839323467231,184.0,14.333333333333334,473.0,33.0,33.0,33.0,0.8731501057082452,1871.0,606.0,1.0,65.0,5.98,35,13,9,47,40,36
10.9,11.3,8.48,43.08,57.0,11.48,11.5,3.54,7.26,3.8869701726844585,1.2354788069073783,256.0,26.541666666666668,637.0,24.0,24.0,70.0,0.8508634222919937,2476.0,787.0,1.0,85.0,7.26,22,9,17,63,80,43
7.3,7.6,7.36,34.95,71.85,8.32,9.7,2.77,7.03,3.911552346570397,1.2238267148014441,250.0,17.870967741935484,554.0,31.0,31.0,53.0,0.8808664259927798,2167.0,678.0,1.0,83.0,7.03,38,15,18,52,53,48
10.2,9.2,7.25,39.96,58.92,10.78,12.5,3.94,7.18,4.005277044854881,1.3562005277044855,171.0,22.294117647058822,379.0,17.0,17.0,49.0,0.9287598944591029,1518.0,514.0,1.0,67.0,7.18,32,12,8,37,46,51
9.2,9.7,7.6,36.71,66.88,10.55,11.4,3.19,6.96,4.047916666666667,1.3104166666666666,214.0,21.818181818181817,480.0,22.0,22.0,48.0,0.9270833333333334,1943.0,629.0,1.0,67.0,6.96,30,5,29,40,51,38
6.8,5.1,6.42,31.9,67.86,7.5,10.6,2.06,7.22,3.874418604651163,1.2976744186046512,118.0,14.333333333333334,215.0,15.0,15.0,24.0,0.8837209302325582,833.0,279.0,1.0,34.0,7.22,12,2,5,23,21,23
6.3,6.1,7.18,30.77,74.49,6.46,10.5,2.33,5.86,4.090909090909091,1.2727272727272727,32.0,14.666666666666666,44.0,3.0,3.0,2.0,0.9318181818181818,180.0,56.0,1.0,7.0,5.86,3,1,1,3,5,6
8.2,9.5,6.96,35.88,74.83,9.53,9.7,2.85,6.73,3.950657894736842,1.243421052631579,139.0,21.714285714285715,304.0,14.0,14.0,25.0,0.9276315789473685,1201.0,378.0,1.0,37.0,6.73,19,7,13,37,40,22
7.8,8.8,8.18,38.21,70.63,9.29,11.0,3.63,6.99,4.109677419354838,1.303225806451613,90.0,19.375,155.0,8.0,8.0,18.0,0.9032258064516129,637.0,202.0,1.0,29.0,6.99,11,5,6,15,16,17
4.1,4.1,5.26,26.54,85.49,4.99,8.7,1.39,5.55,3.6983240223463687,1.1675977653631284,124.0,12.785714285714286,358.0,28.0,28.0,16.0,0.8743016759776536,1324.0,418.0,1.0,39.0,5.55,15,2,4,19,45,32
6.0,6.9,6.55,31.94,80.51,7.81,9.9,2.2,6.64,3.743935309973046,1.1617250673854447,162.0,18.55,371.0,20.0,20.0,30.0,0.8679245283018868,1389.0,431.0,1.0,44.0,6.64,20,5,22,32,48,38
11.5,13.2,8.36,46.9,60.89,12.18,11.7,4.82,6.78,4.101538461538461,1.3076923076923077,112.0,29.545454545454547,325.0,11.0,11.0,27.0,0.916923076923077,1333.0,425.0,1.0,53.0,6.78,16,6,9,49,33,31
7.7,7.3,6.44,34.28,70.73,8.49,10.3,2.83,6.76,3.900293255131965,1.249266862170088,174.0,18.944444444444443,341.0,18.0,18.0,32.0,0.9208211143695014,1330.0,426.0,1.0,51.0,6.76,21,5,13,21,42,41
6.2,6.8,6.15,31.02,80.11,7.63,9.3,1.97,6.11,3.691693290734824,1.1501597444089458,237.0,18.96969696969697,626.0,33.0,33.0,39.0,0.8690095846645367,2311.0,720.0,1.0,64.0,6.11,39,21,16,58,76,39
6.7,6.7,8.27,32.02,68.06,7.09,10.7,2.26,5.87,4.2542857142857144,1.3771428571428572,153.0,12.962962962962964,350.0,27.0,27.0,26.0,0.9,1489.0,482.0,1.0,61.0,5.87,21,10,7,31,47,42
9.0,11.1,9.69,42.49,67.28,10.25,11.2,4.5,8.09,4.482758620689655,1.367816091954023,64.0,21.75,87.0,4.0,4.0,12.0,0.9540229885057471,390.0,119.0,1.0,18.0,8.09,7,5,3,3,11,11
15.7,18.9,5.82,54.06,60.76,18.12,9.9,4.31,7.2,3.683250414593698,1.1807628524046434,210.0,46.38461538461539,603.0,13.0,13.0,32.0,0.9469320066334992,2221.0,712.0,1.0,56.0,7.2,47,16,39,85,63,29
8.4,7.8,7.94,35.6,63.59,8.27,10.7,2.87,7.06,4.11787072243346,1.3346007604562737,144.0,17.533333333333335,263.0,15.0,15.0,32.0,0.9163498098859315,1083.0,351.0,1.0,43.0,7.06,18,7,6,24,19,26
5.9,6.3,6.09,30.79,80.92,7.51,9.2,2.26,6.31,3.6858316221765914,1.1478439425051334,198.0,18.037037037037038,487.0,27.0,27.0,40.0,0.8706365503080082,1795.0,559.0,1.0,60.0,6.31,30,15,12,56,58,41
6.0,6.4,7.12,34.69,75.2,7.61,9.8,2.53,7.33,3.8767967145790556,1.2279260780287475,229.0,16.233333333333334,487.0,30.0,30.0,57.0,0.8521560574948666,1888.0,598.0,1.0,81.0,7.33,18,8,16,44,45,49
9.8,10.9,9.69,43.43,59.84,9.95,12.7,4.33,6.88,4.334615384615384,1.3346153846153845,118.0,23.636363636363637,260.0,11.0,11.0,22.0,0.9115384615384615,1127.0,347.0,1.0,52.0,6.88,18,11,8,20,38,28
12.8,13.4,12.07,53.28,41.4,13.55,15.3,6.5,8.77,4.77029702970297,1.615841584158416,250.0,22.954545454545453,505.0,22.0,22.0,107.0,0.9287128712871288,2409.0,816.0,1.0,143.0,8.77,24,7,21,25,60,79
7.1,8.1,9.56,42.25,67.04,8.1,10.9,3.48,7.74,4.303303303303303,1.3393393393393394,163.0,14.478260869565217,333.0,23.0,23.0,54.0,0.8738738738738738,1433.0,446.0,1.0,79.0,7.74,16,8,13,8,34,46
6.4,6.7,7.18,32.37,74.08,8.48,10.9,2.57,6.74,3.8815789473684212,1.25,119.0,16.285714285714285,228.0,14.0,14.0,25.0,0.8640350877192983,885.0,285.0,1.0,36.0,6.74,14,6,9,27,21,25
9.6,9.8,8.7,40.69,60.45,9.49,10.9,3.61,6.8,4.134419551934827,1.3075356415478616,207.0,22.318181818181817,491.0,22.0,22.0,52.0,0.90020366598778,2030.0,642.0,1.0,83.0,6.8,33,11,16,39,65,49
8.9,8.1,9.78,39.24,51.55,9.81,11.9,2.67,7.68,4.3,1.4375,52.0,13.333333333333334,80.0,6.0,6.0,11.0,0.85,344.0,115.0,1.0,16.0,7.68,3,2,3,6,9,11
6.0,6.7,7.76,36.02,75.1,7.23,10.2,2.7,6.49,4.097922848664688,1.28486646884273,157.0,14.652173913043478,337.0,23.0,23.0,34.0,0.8931750741839762,1381.0,433.0,1.0,62.0,6.49,31,5,13,25,34,28
7.6,8.9,7.08,36.81,76.35,8.5,10.3,2.93,6.93,3.8945686900958467,1.1884984025559104,135.0,22.357142857142858,313.0,14.0,14.0,23.0,0.9041533546325878,1219.0,372.0,1.0,41.0,6.93,32,7,17,30,16,29
7.6,8.3,7.83,34.0,71.04,8.22,10.5,2.76,5.9,4.0030674846625764,1.2300613496932515,127.0,19.176470588235293,326.0,17.0,17.0,19.0,0.8895705521472392,1305.0,401.0,1.0,47.0,5.9,33,22,11,37,30,36
13.9,16.2,6.86,50.95,60.11,15.59,12.5,5.33,6.96,3.841880341880342,1.1666666666666667,102.0,39.0,234.0,6.0,6.0,12.0,0.9273504273504274,899.0,273.0,1.0,32.0,6.96,17,9,18,24,21,16
7.7,8.8,8.18,39.76,70.84,8.95,10.4,3.21,6.48,4.031779661016949,1.2076271186440677,190.0,19.666666666666668,472.0,24.0,24.0,42.0,0.8771186440677966,1903.0,570.0,1.0,77.0,6.48,32,12,17,50,51,37
7.9,8.1,8.69,37.71,64.91,8.83,10.7,3.08,7.35,4.202409638554217,1.3566265060240963,198.0,16.6,415.0,25.0,25.0,56.0,0.8939759036144578,1744.0,563.0,1.0,77.0,7.35,38,14,22,38,37,39
7.8,7.4,7.88,35.18,65.01,7.52,11.6,2.85,6.25,4.060790273556231,1.3069908814589666,139.0,16.45,329.0,20.0,20.0,27.0,0.8905775075987842,1336.0,430.0,1.0,56.0,6.25,21,5,8,30,33,42
6.6,6.4,7.69,34.58,68.26,6.65,9.6,2.24,6.92,4.0,1.259825327510917,218.0,13.878787878787879,458.0,33.0,33.0,53.0,0.851528384279476,1832.0,577.0,1.0,76.0,6.92,30,10,18,33,39,49
6.2,5.1,5.62,27.51,74.79,7.02,8.7,1.72,6.4,3.6156583629893237,1.1601423487544484,140.0,15.61111111111111,281.0,18.0,18.0,22.0,0.8576512455516014,1016.0,326.0,1.0,31.0,6.4,21,8,9,24,33,23
9.2,9.7,9.97,43.06,56.15,9.55,11.9,3.82,7.75,4.152941176470589,1.3313725490196078,226.0,18.214285714285715,510.0,28.0,28.0,81.0,0.8274509803921568,2118.0,679.0,1.0,106.0,7.75,28,12,10,37,49,70
9.2,9.9,7.72,36.98,66.98,9.52,10.8,3.1,6.86,4.006147540983607,1.2663934426229508,191.0,23.238095238095237,488.0,21.0,21.0,38.0,0.9077868852459017,1955.0,618.0,1.0,65.0,6.86,32,13,14,41,64,46
11.5,13.2,11.43,51.65,50.06,11.86,13.8,6.0,7.92,4.417348608837971,1.3944353518821604,245.0,24.44,611.0,25.0,25.0,92.0,0.8625204582651391,2699.0,852.0,1.0,150.0,7.92,29,13,30,28,67,77
9.3,9.5,8.18,39.13,61.26,9.23,10.7,3.19,7.17,3.8290598290598292,1.205128205128205,189.0,22.285714285714285,468.0,21.0,21.0,51.0,0.8247863247863247,1792.0,564.0,1.0,66.0,7.17,20,7,13,25,53,38
4.0,5.7,6.88,26.82,85.69,5.61,8.2,1.41,5.88,3.786111111111111,1.1,148.0,12.413793103448276,360.0,29.0,29.0,19.0,0.825,1363.0,396.0,1.0,39.0,5.88,22,7,9,29,31,23
9.8,9.9,10.09,41.31,54.63,10.32,12.9,3.71,7.59,4.3554987212276215,1.4450127877237853,187.0,18.61904761904762,391.0,21.0,21.0,59.0,0.8900255754475703,1703.0,565.0,1.0,78.0,7.59,27,11,15,8,42,42
9.4,10.1,9.97,40.2,55.54,8.16,11.5,3.47,6.96,4.016042780748663,1.2914438502673797,152.0,19.68421052631579,374.0,19.0,19.0,36.0,0.7967914438502673,1502.0,483.0,1.0,65.0,6.96,17,7,12,18,28,41
6.4,6.6,8.22,33.32,68.67,6.43,9.8,2.17,6.73,4.061889250814332,1.242671009771987,239.0,13.063829787234043,614.0,47.0,47.0,61.0,0.8501628664495114,2494.0,763.0,1.0,101.0,6.73,35,13,13,54,47,67
7.4,7.2,7.71,33.02,66.23,7.02,10.6,2.45,6.11,3.8173076923076925,1.176923076923077,175.0,15.757575757575758,520.0,33.0,33.0,38.0,0.8076923076923077,1985.0,612.0,1.0,76.0,6.11,37,17,14,37,44,49
9.2,9.5,7.02,38.26,66.88,10.16,11.6,3.39,6.59,3.8611764705882354,1.228235294117647,166.0,23.61111111111111,425.0,18.0,18.0,32.0,0.8964705882352941,1641.0,522.0,1.0,61.0,6.59,22,9,18,35,58,42
9.7,10.6,9.28,43.66,60.24,10.21,11.2,4.24,7.89,4.1127659574468085,1.323404255319149,217.0,22.38095238095238,470.0,21.0,21.0,68.0,0.8680851063829788,1933.0,622.0,1.0,89.0,7.89,23,6,21,20,43,39
9.8,10.2,7.2,39.78,65.35,10.51,11.6,3.63,6.5,3.800486618004866,1.221411192214112,156.0,25.6875,411.0,16.0,16.0,31.0,0.8832116788321168,1562.0,502.0,1.0,58.0,6.5,26,10,16,42,39,40
8.0,7.8,9.44,42.45,59.09,7.44,10.9,3.35,6.83,4.3197492163009406,1.3949843260188088,146.0,13.869565217391305,319.0,23.0,23.0,36.0,0.8808777429467085,1378.0,445.0,1.0,77.0,6.83,16,10,7,25,34,48
9.9,10.0,7.14,39.93,64.95,11.36,11.6,3.78,6.98,3.9863636363636363,1.309090909090909,118.0,24.444444444444443,220.0,9.0,9.0,22.0,0.9454545454545454,877.0,288.0,1.0,34.0,6.98,17,7,14,25,13,21
6.9,6.4,5.17,26.82,78.18,7.95,8.8,1.55,5.88,3.6244343891402715,1.1493212669683257,87.0,20.09090909090909,221.0,11.0,11.0,13.0,0.9140271493212669,801.0,254.0,1.0,17.0,5.88,21,11,7,40,17,11
8.9,8.8,8.12,38.31,62.17,8.55,11.6,3.29,6.34,4.075907590759076,1.3036303630363035,219.0,19.548387096774192,606.0,31.0,31.0,45.0,0.8960396039603961,2470.0,790.0,1.0,101.0,6.34,31,12,18,59,65,53
9.1,9.6,10.49,41.01,56.25,8.67,12.2,3.64,7.66,4.50752688172043,1.4838709677419355,213.0,16.607142857142858,465.0,28.0,28.0,68.0,0.9010752688172043,2096.0,690.0,1.0,102.0,7.66,14,4,12,14,52,76
6.6,6.4,7.23,31.07,68.26,7.02,9.2,1.81,7.41,3.74373795761079,1.1695568400770713,229.0,13.307692307692308,519.0,39.0,39.0,60.0,0.7976878612716763,1943.0,607.0,1.0,66.0,7.41,12,6,24,53,51,36
8.4,8.8,5.86,35.93,74.42,9.84,9.9,2.9,6.49,3.783157894736842,1.2505263157894737,193.0,25.0,475.0,19.0,19.0,32.0,0.9284210526315789,1797.0,594.0,1.0,58.0,6.49,32,13,19,48,47,34
4.1,3.6,5.35,28.26,80.28,4.06,8.5,1.52,5.73,3.8764044943820224,1.205992509363296,101.0,9.206896551724139,267.0,29.0,29.0,13.0,0.8689138576779026,1035.0,322.0,1.0,44.0,5.73,15,12,1,25,28,33
10.8,12.1,7.72,44.61,62.61,12.26,13.0,4.67,7.17,3.8295454545454546,1.2386363636363635,121.0,29.333333333333332,264.0,9.0,9.0,29.0,0.8674242424242424,1011.0,327.0,1.0,42.0,7.17,14,5,13,17,25,28
7.0,7.6,8.0,34.9,72.66,8.1,9.7,2.73,7.2,4.09375,1.25390625,116.0,17.066666666666666,256.0,15.0,15.0,32.0,0.90625,1048.0,321.0,1.0,41.0,7.2,13,6,11,21,25,32
5.9,5.6,6.08,33.38,75.4,7.09,10.1,2.06,6.84,3.5949685534591196,1.1735849056603773,288.0,15.588235294117647,795.0,51.0,51.0,74.0,0.8188679245283019,2858.0,933.0,1.0,102.0,6.84,41,10,19,89,73,57
12.8,14.3,11.09,53.9,46.71,13.56,14.2,6.55,8.79,4.417077175697865,1.4269293924466337,288.0,27.681818181818183,609.0,22.0,22.0,114.0,0.8817733990147784,2690.0,869.0,1.0,144.0,8.79,34,15,20,19,75,90
5.8,5.5,6.37,29.11,75.71,5.89,9.3,1.76,5.87,3.8005540166204987,1.182825484764543,154.0,14.44,361.0,25.0,25.0,20.0,0.8670360110803325,1372.0,427.0,1.0,44.0,5.87,27,6,13,39,34,29
6.2,5.9,6.37,31.35,74.59,6.65,9.2,2.12,6.64,3.6904761904761907,1.1684981684981686,235.0,15.166666666666666,546.0,36.0,36.0,50.0,0.8461538461538461,2015.0,638.0,1.0,70.0,6.64,45,15,13,67,55,38
6.9,7.7,7.76,37.47,72.87,9.42,11.3,3.33,7.69,4.0038167938931295,1.2709923664122138,140.0,17.466666666666665,262.0,15.0,15.0,35.0,0.8778625954198473,1049.0,333.0,1.0,50.0,7.69,11,8,7,16,29,29
7.6,7.8,8.58,37.47,65.73,8.05,10.5,2.95,7.5,4.091445427728614,1.2979351032448379,181.0,16.142857142857142,339.0,21.0,21.0,47.0,0.8672566371681416,1387.0,440.0,1.0,61.0,7.5,16,9,7,16,39,37
6.8,7.0,8.34,34.48,67.65,7.86,9.6,2.32,7.58,4.033057851239669,1.2727272727272727,230.0,14.235294117647058,484.0,34.0,34.0,72.0,0.8491735537190083,1952.0,616.0,1.0,78.0,7.58,25,11,14,21,49,49
6.5,8.6,7.42,35.79,79.19,8.46,8.8,2.85,7.59,3.7375886524822697,1.094562647754137,209.0,21.15,423.0,20.0,20.0,47.0,0.8203309692671394,1581.0,463.0,1.0,57.0,7.59,25,9,14,29,37,41
5.1,4.6,4.81,28.76,82.85,6.2,8.1,1.94,6.62,3.5166051660516606,1.103321033210332,128.0,15.941176470588236,271.0,17.0,17.0,19.0,0.8634686346863468,953.0,299.0,1.0,33.0,6.62,14,5,4,33,25,17
6.9,6.6,7.82,32.21,67.45,7.15,9.8,2.18,6.62,3.9871323529411766,1.2463235294117647,242.0,13.6,544.0,40.0,40.0,55.0,0.8566176470588235,2169.0,678.0,1.0,83.0,6.62,23,10,27,36,51,42
5.9,5.7,6.83,29.97,75.5,6.78,9.6,2.04,5.99,4.019337016574585,1.292817679558011,147.0,13.923076923076923,362.0,26.0,26.0,28.0,0.9116022099447514,1455.0,468.0,1.0,53.0,5.99,28,15,8,24,46,32
9.4,10.4,7.43,40.88,66.27,10.76,11.9,3.72,7.01,3.730769230769231,1.1923076923076923,185.0,26.0,468.0,18.0,18.0,41.0,0.8376068376068376,1746.0,558.0,1.0,63.0,7.01,34,8,23,41,42,33
9.6,9.9,8.7,42.04,60.55,8.94,11.0,3.86,6.28,4.150224215246637,1.3139013452914798,164.0,21.238095238095237,446.0,21.0,21.0,33.0,0.899103139013453,1851.0,586.0,1.0,80.0,6.28,44,12,16,37,42,40
5.9,6.8,6.44,30.14,80.82,7.51,9.6,1.85,5.98,3.720257234726688,1.157556270096463,215.0,18.294117647058822,622.0,34.0,34.0,35.0,0.8633440514469454,2314.0,720.0,1.0,65.0,5.98,44,13,35,65,44,47
8.1,7.6,8.98,40.65,58.89,9.28,11.7,3.17,7.84,4.154028436018957,1.372037914691943,224.0,14.066666666666666,422.0,30.0,30.0,71.0,0.8554502369668247,1753.0,579.0,1.0,91.0,7.84,26,11,13,30,39,52
6.8,7.3,8.86,35.71,67.65,6.81,10.2,2.62,6.59,4.19060773480663,1.328729281767956,271.0,13.923076923076923,724.0,52.0,52.0,83.0,0.8715469613259669,3034.0,962.0,1.0,136.0,6.59,37,11,19,69,77,75
7.7,8.0,6.96,33.79,70.73,9.26,10.3,2.29,7.39,3.7816901408450705,1.1713615023474178,198.0,20.285714285714285,426.0,21.0,21.0,47.0,0.8591549295774648,1611.0,499.0,1.0,48.0,7.39,25,6,12,40,45,32
5.4,5.6,5.73,28.87,82.14,6.95,9.3,1.79,5.94,3.72264631043257,1.173027989821883,138.0,16.375,393.0,24.0,24.0,23.0,0.8854961832061069,1463.0,461.0,1.0,43.0,5.94,26,11,20,40,33,29
9.2,8.3,7.07,35.15,61.46,9.31,12.0,2.77,6.75,3.909433962264151,1.3169811320754716,130.0,20.384615384615383,265.0,13.0,13.0,24.0,0.8905660377358491,1036.0,349.0,1.0,36.0,6.75,21,9,16,18,21,22
9.3,9.1,9.21,40.62,55.95,8.89,11.5,3.42,7.42,4.0920245398773005,1.3174846625766872,282.0,18.11111111111111,652.0,36.0,36.0,85.0,0.8420245398773006,2668.0,859.0,1.0,121.0,7.42,45,9,18,27,66,69
6.4,7.0,7.59,34.1,74.08,7.89,10.2,2.59,7.35,3.9935344827586206,1.2629310344827587,226.0,16.0,464.0,29.0,29.0,60.0,0.8814655172413793,1853.0,586.0,1.0,76.0,7.35,32,9,18,43,41,52
